,title,split_title
196,问一下房地产开发企业支付的天然气安装费应计入那个会计科目，现在不让客户叫这个费用了，有房开企业交,问 房地产 开发 企业 支付 天然气 安装费 应 计入 会计科目 不让 客户 费用 房开 企业 交
197,老板建设此房子时什么票据都没有了，我应该怎么办？连装修，购买的东西，都没有发票了胡桂芳(175880750)17:32:22现在酒店开始营业了，我应该怎么办，求助,老板 建设 房子 时 票据 装修 购买 东西 发票 胡桂芳 175880750 17 32 22 酒店 营业 求助
198,老师，民营医院，以前是盈利性医院现在改为非盈利性医院，国税部门有关手续是变更的，现在工商部门要我们出具清税证明才可以把营业执照给注销掉，而国税是变更没有注销以前的公司账户，现在该怎么弄呢？,老师 民营 医院 盈利性 医院 改为 非盈利性 医院 国税 部门 手续 变更 工商部门 出具 清税 证明 营业执照 注销 掉 国税 变更 注销 公司 账户 怎么弄
199,可以用加油票抵运费吗？,加油 票 抵 运费
200,老师，一般纳税人开普票，也要计算增值税销项？,老师 纳税人 开普票 计算 增值税 销项
201,购买300的茶叶用来招待，当时挂账预付，收到发票，发票金额330，冲销之前的预付，余额贷30，怎么把账做平？,购买 300 茶叶 招待 挂账 预付 收到 发票 发票 金额 330 冲销 预付 余额 贷 30 账 做平
202,老师：我们购买了一家公司的股权5%，花了40万，应该怎么做会计分录呀？,老师 购买 一家 公司 股权 5% 花 40 万 做 会计分录
203,老师我们合同是45000.00管理费12%，45000*（1-12%-7.5%、5%、-2.5%）是什意思、现在要开成本票里,老师 合同 45000.00 管理费 12% 45000 12% 7.5% 5% 2.5% 什 要开 成本 票里
204,老师，灯具的小配件好多，我可以做到配件的库存吗？,老师 灯具 配件 好多 配件 库存
205,就是会员卡充值比方说充20000赠10000赠送的10000是不是一般进销售费用,会员卡 充值 比方说 充 20000 赠 10000 赠送 10000 进 销售费用
206,计算增值税应纳税额时含开普票的吗？,计算 增值税 应纳税额 时含 开普票
207,固定资产这种不留殘值的处理方法，要去税所申请的吗？还是之前不留残，以后所有的固定资产业务都可以这样操作？这种折旧方法，需不需要去税务局报备的,固定资产 不留 殘值 方法 税 申请 不留 残 固定资产 业务 操作 折旧 方法 需不需要 税务局 报备
208,老师，进项认证的发票找不见了，要怎么办呢？,老师 进项 认证 发票 找 不见
209,我们是这么一个经济业务，个人打款到公司购一股东股权款，这个股东收到股权款后，用股权款支付司法划款，都是在公司账上，这处要怎么做账呢,经济 业务 个人 打款 公司 购一 股东 股权 款 股东 收到 股权 款后 股权 款 支付 司法 划款 公司 账上 这处 做账
210,我公司前期没有建账的，进销有点乱，现在就是通过excel手工来完善，将进、销对应上来，那现在要出财务报表，能否可以仅凭目前数据来做。,公司 前期 建账 进销 乱 excel 手工 完善 进 销 要出 财务报表 仅凭 数据 做
211,老师，北京营改增是16年5月开始施行的吧？,老师 北京 营改 增是 16 年 月 施行
212,"请问老师：我们打到业主那里的施工保证金好几年，现在业主退回来,另外还付了我们公司1万多元的利息,这个利息收入可以直接到到财务费用吗?",请问 老师 业主 施工 保证金 好几年 业主 退回来 还付 公司 万多元 利息 利息收入 财务费用
213,我要登记资产的已提折旧，是看账套里累计折旧的期初额、期末额还是发生额的借贷方呀？,我要 登记 资产 提 折旧 账套 里 累计 折旧 期初 额 期末 额 发生额 借贷 方呀
214,@邹老师，税收分类编码要选吗？开票时要选吗？,邹 老师 税收 分类 编码 要选 开票 时要 选
215,老师，请问股权转让完税证明是什么样的啊？是交个税的吗？按多少比例交呀？平摊吗？,老师 请问 股权 转让 完税 证明 交个 税 比例 交呀 平摊
216,公司是小规模，以公司名义购买的车怎么做账啊,公司 小规模 公司 名义 购买 车 做账
217,公司是小规模，以公司名义购买的车是借：固定资产，贷；现金或者银行存款。不涉及税？保险费也交了有没有借:应交税费—应交增值税？,公司 小规模 公司 名义 购买 车 固定资产 贷 现金 银行存款 涉及 税 保险费 交 有没有 应交 税费 应交 增值税
218,我想问下，就是我单位在去年和今年都分配了利润，造成资产负债表上面去年的未分配利润的年初余额与利润表上面本期金额之和不等于资产负债表上面未分配利润期末余额，请问这种情况是正常的吗？就好像没勾稽关系了一样,我想 问下 单位 去年 分配 利润 资产 负债表 去年 未 分配利润 年初 余额 利润表 本期 金额 等于 资产 负债表 未 分配利润 期末余额 请问 情况 好像 没勾稽 关系
219,老师，固定资产盘盈后续分录如何处理可以给整套流程,老师 固定资产 盘盈 后续 分录 整套 流程
220,老师维修费是改前和改后都是17是吗税率,老师 维修费 改前 改后 17 税率
221,老师，员工出差的差旅费是不是可以全额抵扣的,老师 员工 出差 差旅费 全额 抵扣
222,老师，我们这员工有手机费自2016年起至今没有报销，每月金额也不大，100元以内，能否一次性入账？,老师 员工 手机费 2016 年 报销 每月 金额 100 元 以内 一次性 入账
223,老师维修费是改前和改后都是17%吗,老师 维修费 改前 改后 17%
224,老师，付款申请书和付款凭单一样不，一笔业务要两个都填还是只填一个就行了,老师 付款 申请书 付款 凭单 一笔 业务 两个 填 填 就行了
225,老师，我想请教装订凭证方面的问题，热熔管财务装订机把凭证装订好后需要把凭证角包一下吗？,老师 想 请教 装订 凭证 热熔 财务 装订机 凭证 装订 好后 凭证 角包
226,老师您好！请问什么是双定户？是关于个体户的,老师 您好 请问 双定户 个体户
227,老师，公司账上挂了一笔其他应付款贷方余额5000，经查是2011年一公司外部人员报销勘查费未支付其款项。所以计入其他应付款，其一直未向公司索要。余额挂到现在，请问这种情况可以怎么处理，需要调账吗,老师 公司 账上 挂 一笔 应付款 贷方余额 5000 经查 2011 年 一 公司 外部 人员 报销 勘查 费未 支付 款项 计入 应付款 未向 公司 索要 余额 挂到 请问 情况 调账
228,老师，你好，网上认证发票需要去税局窗口开通这项业务吗？还是网上可以申请,老师 你好 网上 认证 发票 税局 窗口 开通 这项 业务 网上 申请
229,工地渣土外运费用怎么做分录,工地 渣土 外运 费用 做 分录
230,供应商给与的货款折让，是不是要冲减财务费用？,供应商 给与 货款 折让 要冲 减 财务费用
231,老师你好，现接手一家新企业，之前的会计交接不清楚，说白了就是稀里糊涂的接手了这份会计工作。之前的成本结转也不知道她是怎么结转的，现在我接手的话，能更换了成本会计核算方式吗,老师 你好 现 接手 一家 新 企业 会计 交接 说白了 稀里糊涂 接手 这份 会计工作 成本 结转 结转 接手 更换 成本 会计核算 方式
232,销项发票开：467921.23元，进项发票可以认证457682.84吗？,销项 发票 开 467921.23 元 进项 发票 认证 457682.84
233,查账征收和查账征收的财务报表填写有什么区别么,查账 征收 查账 征收 财务报表 填写 区别
234,老师，个体户国税双定额征收，如果每个月征收定50000元，那我们如果一个月里营业收入刚好50000元，还需要交增值税吗？,老师 个体户 国税 双 定额 征收 月 征收 50000 元 一个月 里 营业 收入 50000 元 交 增值税
235,房租需要摊销吗????,房租 摊销
236,电缆行业是参照那个行业的会计学习呢？,电缆 行业 参照 行业 会计 学习
237,老师请问贷借记账法的规则是什么,老师 请问 贷借 记账法 规则
238,测绘用的＂地形地籍成图软件＂是作为＂无形资产＂还是＂固定资产＂核算?财务用的＂用友软件＂呢?,测绘 ＂ 地形 地籍 成图 软件 ＂ ＂ 无形资产 ＂ ＂ 固定资产 ＂ 核算 财务 ＂ 用友 软件 ＂
239,对账公户收到同一客户两笔钱，开发票时，可以将这两笔钱的金额加在一起，开在一张发票上不？,对账 公户 收到 客户 两笔 钱 开发票 时 两笔 钱 金额 加在一起 开 一张 发票
240,是什么差额呀？只交个税吗？,差额 只交个 税
241,我们公司没有在银行开公户，平时我们付款的时候要填什么单据呢？还是直接付款,公司 银行 开公户 平时 付款 填 单据 付款
242,如果原来实收资本是500万元，原来3个股东又新增3个股东，同时也增资500万元，变成1000万元，是不是这样没有发生股权转让就不需要交个税。只有发生股权转让时才交个税呢？,实收 资本 500 万元 股东 新增 股东 增资 500 万元 1000 万元 发生 股权 转让 交个 税 发生 股权 转让 时才 交个 税
243,一般好像转让的比投资的要少呀，最多相等，这样哪个减哪个呢？,好像 转让 投资 少 减
244,老师，老板的亲戚时不时往我们公司走一笔钱，他个人用房产证抵押贷款，之后贷款入到我们公司账上，再转给他个人，有时他还帮别人走，这样好吗？,老师 老板 亲戚 时不时 公司 走 一笔 钱 个人 房产证 抵押 贷款 贷款 入到 公司 账上 转给 个人 帮别人 走
245,建投公司的账务如何处理,建投 公司 账务
246,佣金发票是多少税率呢。个人开以及公司开的区别在哪里,佣金 发票 税率 个人 开 公司 开 区别
247,打个比方：一个司机接送客户总金额500元，司机那部分占92%，企业占8%那司机领取结算款也做在其他应收账款，公司那部分结算款做在营业收入可以吗？老师你好我司是汽车租赁行业，司机在接送客人，没按规定时间到达目的地，客人投诉，司机扣款金额我想做哪个科目里合适。公司被App平台扣罚款做在营业外支出可以吗？,打个比方 司机 接送 客户 总金额 500 元 司机 占 92% 企业 占 8% 司机 领取 结算 款 做 应收 账款 公司 结算 款 做 营业 收入 老师 你好 我司 汽车 租赁 行业 司机 接送 客人 按规定 时间 到达 目的地 客人 投诉 司机 扣款 金额 想 做 科目 里 合适 公司 App 平台 扣 罚款 做 营业 外 支出
248,老师，兴隆经贸(5月份）业务20里：明明业务7是120元卖出去的，还开了发票，只是账未收，入应收账款。另业务11才是200元卖出去的，已到对公帐户，入银行存款。而这里的退货不应该是退的业务11的吗？所以借方不应该是银行存款吗，怎么是应收账款？是因为没有银行退款交易凭证所以从应收来抵是吗？,老师 兴隆 经贸 月份 业务 20 里 明明 业务 120 元 卖出去 还开 发票 账 未收 入 应收 账款 业务 11 200 元 卖出去 已到 对公 帐户 入 银行存款 退货 退 业务 11 借方 银行存款 应收 账款 是因为 银行 退款 交易 凭证 应收 抵
249,老师收到一张专票，已经认证，抵扣联和记账联都丢了，现在也联系不到对方单位，可以再转出不抵扣吗？这样操作有什么影响吗？,老师 收到 一张 专票 认证 抵扣 联 记账 联都 丢 不到 单位 转出 抵扣 操作 影响
250,快帐软件可以同时登入几个人使用?,帐 软件 登入 几个
251,老师:报所得税的收入是不是看销售的不含税收入了,老师 报 所得税 收入 销售 不含税 收入
252,老师好，我们8月份盘下的公司，10月份才申请了一般纳税人。8-到现在是用Excel做的账，现在开始用金蝶软件做账，我想问下科目表的期初余额该怎么填。另外我们现在所用的东西（我们是物流公司，都是用的现有的东西，叉车，电脑什么的），这些我要体现出来吗？如果需要要怎么做？另外我们是合伙盘下的，别人投资进来的钱怎么算（投进来的钱也已经付了转让费了）。问题比较多，麻烦老师了。,老师 月份 盘下 公司 10 月份 申请 纳税人 Excel 做 账 金蝶 软件 做账 我想 问下 科目表 期初余额 填 所用 东西 物流 公司 现有 东西 叉车 电脑 我要 体现 做 合伙 盘下 投资 钱 算 投进来 钱 付 转让费 麻烦 老师
253,查账征收与核定征收的区别？核定征收的好处,查账 征收 核定 征收 区别 核定 征收 好处
254,老师彩票平台的经营模式跟账务核算要怎么做呀？一点概念都没有,老师 彩票 平台 经营 模式 账务 核算 做 一点 概念
255,期初A产品是5件，金额250元，B产品是40件，金额是800元，月末入库A产品4件，半成2件，销售3件件，金额180元，B产品月末入库10件，半成品2件，销售20件，金额是600元，如何算材料成本,期初 产品 件 金额 250 元 B 产品 40 件 金额 800 元 月末 入库 产品 件 半成 件 销售 件 件 金额 180 元 B 产品 月末 入库 10 件 半成品 件 销售 20 件 金额 600 元 算 材料 成本
256,老师，分录是接：银行存款95，手续费5，贷：预收账款20，其他应付款80，现金流量怎么指定？我怎么都指定不平,老师 分录 接 银行存款 95 手续费 贷 预收 账款 20 应付款 80 现金流量 指定 指定 不平
257,市政道路工程渣土外运，可以计入工程施工-合同成本吗？,市政道路 工程 渣土 外运 计入 工程施工 合同 成本
258,老师，我季度不超9万元，只是其中一个月营业额达到5万元，我不明白为什么要交增值税？，（个体户国税双定额征收，如果每个月征收定50000元，那我们如果一个月里营业收入刚好50000元，还需要交增值税吗？）,老师 季度 不超 万元 一个月 营业额 万元 明白 为什么 要交 增值税 个体户 国税 双 定额 征收 月 征收 50000 元 一个月 里 营业 收入 50000 元 交 增值税
259,我们公司9月份成立，小规模纳税人，9月份没有计提工资，10月份发工资时借：管理费用-工资贷:银行存款，其他应付款-社保，个税这样行吗？9月份资产负债表上应付职工薪酬也没有做这样行吗，请老师详细回答,公司 月份 成立 小规模 纳税人 月份 计提 工资 10 月份 发工资 时借 管理费用 工资 贷 银行存款 应付款 社保 税 行 月份 资产 负债表 应付 职工 薪酬 做 行 请 老师 详细 回答
260,江苏的初级报名链接有没有啊老师,江苏 初级 报名 链接 有没有 老师
261,老师，我们有的付款业务，什么票据都没有，这个就做不成账是吧,老师 付款 业务 票据 做 账是
262,金蝶财务软件为什么，凭证的序号每个月的序号为啥连着前面一个月的序号，不是从1号开始，上个月已经结帐了,金蝶 财务软件 为什么 凭证 序号 月 序号 为啥 一个月 序号 号 上个月 结帐
263,9月份没有做计提工资，10月份发工资，做计提9月份工资，再做发放工资行吗,月份 做 计提 工资 10 月份 发工资 做 计提 月份 工资 做 发放 工资 行
264,老师:房地产开发公司的客户买房用公积金是怎么回事，能详细讲解下吗,老师 房地产 开发 公司 客户 买房 公积金 怎么回事 详细 讲解
265,老师，煤炭增值税专用发票为什么有人12个点就能开出来？,老师 煤炭 增值税 专用发票 为什么 有人 12 个点 开
266,市政道路工程渣土外运怎么做会计成本,市政道路 工程 渣土 外运 做 会计 成本
267,你好老师，我公司银行外币户（外币余额为0但本位币借方还有余额，我该怎么冲账呢？）分录是？,你好 老师 公司 银行 外币 户 外币 余额 本位币 借方 余额 我该 冲账 分录
268,"领用材料A产品：1、铁10斤，单价45元，金额450元，;2、螺丝钉23个，单价0.02元;B产品：1,管子14条，单价11元，金额154元，扣扣15个，单价0.05元。二个产品工人工资是70元，如何分配材料",领 材料 产品 铁 10 斤 单价 45 元 金额 450 元 螺丝钉 23 单价 0.02 元 B 产品 管子 14 条 单价 11 元 金额 154 元 扣扣 15 单价 0.05 元 二个 产品 工人工资 70 元 分配 材料
269,公司收到为不是员工付款的火车票和飞机票如何入账合适呢？,公司 收到 员工 付款 火车票 飞机票 入账 合适
270,请问老师，我单位向a人员购买沙石，a未能提供发票，a就联系了b，让b和公司签合同，并支付货款给b，由b开普通发票给我公司，这样税务会查吗？是否符合要求,请问 老师 单位 a 人员 购买 沙石 a 未能 提供 发票 a b b 公司 签合同 支付 货款 b b 开 普通发票 公司 税务 会查 符合要求
271,我有一个民办事业单位业务，它的注册资本金如何处理,民办 事业单位 业务 注册 资本金
272,老师我只做过一段时间出纳，我在想去记账公司看看是否学起来更直观适合我，还是自己在网上学更适合我？,老师 做 一段时间 出纳 想 记账 公司 学 直观 适合 网上 学 适合
273,老师=新开公司，股东没交股金，就已经营，也没有实收资本，发生成本费都挂在其他应付款股东名下，资产负债表上实收资本栏没有数字可以吗,老师 新开 公司 股东 交 股金 经营 实收 资本 发生 成本费 挂 应付款 股东 名下 资产 负债表 实收 资本 栏 数字
274,钢贸企业现在是17%的税，想增项技术服务这项，开服务费发票6%的税的可以吗，如果可以需要有进项票吗，怎么取得进项票,钢贸 企业 17% 税 想 增项 技术 服务 这项 开 服务费 发票 6% 税 进项 票 进项 票
275,政府拨款建设光伏发电公司分了两个账户拨款一个是零余额账户一个是专项扶贫资金专项扶贫资金只能用于付工程款而且还只能转账，那这个钱到底是进实收资本还是走专项应付款这个科目,政府 拨款 建设 光伏 发电 公司 分 两个 账户 拨款 余额 账户 专项 扶贫 资金 专项 扶贫 资金 只能 用于 付 工程款 只能 转账 钱 进 实收 资本 走 专项 应付款 科目
276,老师，请问收购农产品时自己开票怎么报增值税？,老师 请问 收购 农产品 时 开票 报 增值税
277,今年9月份刚成立的企业，还用办五证合一吗，现在社保局还没做登记,月份 刚成立 企业 还用 办五证 合一 社保局 做 登记
278,税负2％，怎么根据税负算应交税费,税负 税负 算 应交 税费
279,这个缴纳08月份地税税金，营业税、城市维护建设税等这些不计提吗？,缴纳 08 月份 地税 税金 营业税 城市 维护 建设 税 计提
280,老师，有木有成本核算方面的书籍推荐，谢谢,老师 有木有 成本核算 书籍 推荐 谢谢
281,老师，你好！我想问一下，我们在银行开立基本户，会有账户维护，账户维护管理费，我应该记在“管理费用”而不是“财务费用”吧！？,老师 你好 想 问 银行 开立 户 账户 维护 账户 维护 管理费 记在 管理费用 财务费用
282,老师，快账的开办费具体指的是怎么呢？,老师 快账 开办费 指
283,老师，假如销售额100000税负2应交增值税就是2000，如果销项20000，就要认证18000的票吗？回,老师 销售额 100000 税负 应交 增值税 2000 销项 20000 认证 18000 票 回
284,老师，企业法人往企业账户里存钱没写投资款，所以计入了其他应付款，那我想知道发生什么样的业务能冲销其他应付啊,老师 企业法人 企业 账户 里 存钱 写 投资 款 计入 应付款 想 发生 业务 冲销 应付
285,这发票的格式有问题不,发票 格式
286,"买回来的材料又拿出去用在安装上了,管家婆做账是先做材料入库，再做销售单开出吗",买回来 材料 拿出 安装 管家婆 做账 先 做 材料 入库 做 销售 开出
287,老师，刚听了齐老师的课，有个问题，人工也可以开发票，是指劳务票对吗,老师 听 老师 课 有个 人工 开发票 指 劳务 票
288,请问，法人出钱买的办公用品固定资产可不可以直接借：固定资产/管理费用-办公用品，贷：其他应付款-法人，然后企业账户里有钱是借应付贷银存,请问 法人 出钱 买 办公用品 固定资产 可不可以 固定资产 管理费用 办公用品 贷 应付款 法人 企业 账户 里 有钱 应付 贷银存
289,比如10月份要发工资了，可是有个员工是迟来10月份他是有工资的，可是还没有到约好的时间发，这该如何处理，他的名字能在发放工资的报表里吗,10 月份 发工资 有个 员工 迟来 10 月份 工资 约 时间 发 这该 名字 发放 工资 报表 里
290,老师，建筑业预收到了一笔工程款，还没有开票，现在要按未开票收入报增值税，有留底税额，如何做分录呢？,老师 建筑业 预收 一笔 工程款 开票 未 开票 收入 报 增值税 留底 税额 做 分录
291,老师，我身份证过期了可以报考初级吗？,老师 身份证 过期 报考 初级
292,进了一批红枣，经过分级，然后包装，在销售，会计分录怎么做？,进 一批 红枣 分级 包装 销售 会计分录 做
293,餐饮发票的发票联弄丢已经隔月了，怎么办？,餐饮 发票 发票 联弄 丢 隔 月
294,老师您好！请问逾期申报增值税产生滞纳金，这滞纳金是按哪个金额计算的？是含税销售额？不含税销售额？还是增值税额呢？,老师 您好 请问 逾期 申报 增值税 滞纳金 滞纳金 金额 计算 含税 销售额 不含税 销售额 增值税 额
295,别的公司给我们开具劳务费吗？,公司 开具 劳务费
296,老师你看我这道题写的对吗？,老师 这道 题写
297,实操练习金马商贸营业期1月中，月底应付账款科目余额45900，但是资产负债表中应付账款余额填的是136355元，是老师错了吗？,实操 金马 商贸 营业 期 月 中 月底 应付账款 科目 余额 45900 资产 负债表 中 应付账款 余额 填 136355 元 老师 错
298,有一个个人，他有一个提成，他从他们公司提不了款，然后通过我们公司打那个款之后，然后吧这个钱给那个人，这样的情况应该怎么做账好呢,个人 提成 公司 提 款 公司 款 钱 情况 做账
299,请问可以在税前列支的科目有哪些？是可以全额抵扣还是只能部分抵扣？,请问 税前 列支 科目 全额 抵扣 只能 抵扣
300,当请问月未认证的发票如何做分录？下个月抵扣了又如何做分录？,请问 月 未 认证 发票 做 分录 下个月 抵扣 做 分录
301,老师:公司的结算期是每上月15到本月15日，跟银行的结算不匹配，做账务处理应该怎么做才更合理？,老师 公司 结算 期是 月 15 本月 15 日 银行 结算 匹配 做 账务 做
302,老师开出去增票要和银行银行收入单位名称一致吗,老师 开 增票 银行 银行 收入 单位名称
303,老师，我们是新成立的小规模商业企业，10月是第二次申报地税，这两上季度收入差不多都是报的85000元的样子，但是在申报附加税的时候，我没有交印花税，有没有问题?税局会不会说我偷税漏税啊?,老师 新 成立 小规模 商业 企业 10 月 第二次 申报 地税 两上 季度 收入 报 85000 元 样子 申报 附加税 交 印花税 有没有 税局 说 偷税漏税
304,个体工商户开发票100万。超了20万。税怎么算？,个体 工商户 开发票 100 万 超 20 万 税 算
305,好的，谢谢老师！,谢谢 老师
306,老师，工程上的验收费，试验费要放在管理费里面还是放在主营成本里面,老师 工程 验收 费 试验 费要 放在 管理费 放在 主营 成本
307,我们用用友软件做账，每月只是打印出来记账凭证，账簿没有打印过，是不是到年底都要打印出来,用友 软件 做账 每月 打印 记账 凭证 账簿 打印 年底 打印
308,打扰下老师，还在吗？,打扰 老师
309,您好，一般到国税申请开红字发票能在当天就办好吗？还是要过很长一段时间才批准？,您好 国税 申请 开红字 发票 当天 办好 很长 一段时间 批准
310,请问：公司进了一批红枣，分级包装，包装用的塑料袋，发货时用的纸箱怎么做凭证？包装物单独核算的,请问 公司 进 一批 红枣 分级 包装 包装用 塑料袋 发货 时用 纸箱 做 凭证 包装物 单独 核算
311,老师之前我暂估啦原材料，材料已经被领用做成啦成品，发票回来后因为原材料单价估高啦，暂估大啦，我冲啦暂估可是要冲多进的库存商品时因为是软件做账，而且还设计啦数量金额辅助核算，那我的这个是要吧库存商品上期的也冲掉，在按正确的做一笔吗,老师 暂估 原材料 材料 领用 做成 成品 发票 回来 原材料 单价 估高 暂估 我冲 暂估 要冲 多进 库存商品 时 软件 做账 设计 数量 金额 辅助 核算 库存商品 上期 冲掉 正确 做 一笔
312,不好意思打扰下老师，在吗？,不好意思 打扰 老师
313,这么晚了打扰下老师，不好意思，我这有个小问题，老师在吗？,这么晚 打扰 老师 不好意思 老师
314,您好，我在报小规模纳税人增值税时，我们有一部分金额是未开票金额，在填写销项税额是金税盘开出的金额与总的销项税金额是一致的吗？,您好 报 小规模 纳税人 增值税 时 一部分 金额 未 开票 金额 填写 销项税额 金税 盘 开出 金额 总 销项 税 金额
315,兼职的工资可以做劳务报酬所得，报税不呢？,兼职 工资 做 劳务 报酬 所得 报税
316,注塑车间的制造费用，在业务33成本中不是已经结转过了了吗，为什么这里还需结转？,注塑 车间 制造费用 业务 33 成本 中 结 转过 为什么 需 结转
317,老师，记研发支出的分录您帮我写下,老师 记 研发 支出 分录 帮 写下
318,如果销售费用误计入成夲了，那年终汇算清缴会有什么影响,销售费用 误 计入 成 夲 年终 汇算 清缴 影响
319,老师我想问个问题，公司新成立一家公司，税估计这几天会办好，下个月就得申报了，注册资本1000万这要做凭证吗？,老师 想 问个问题 公司 新 成立 一家 公司 税 估计 几天 办好 下个月 申报 注册资本 1000 万 这要 做 凭证
320,初级会计2018的课件更新了吗,初级 会计 2018 课件 更新
321,老师。请问公司有一个员工达到法定退休年龄了，但他本人没有要走的意思，公司该怎么办？辞退需要支付赔偿金吗？,老师 请问 公司 员工 法定 退休年龄 走 公司 辞退 支付 赔偿金
322,老师，内账中记销项，进账不？,老师 内账 中记 销项 进账
323,老师，去银行开一般户需带什么资料,老师 银行 开 户 需带 资料
324,2018年初级会计职称，预习班在哪、没找到。,2018 年 初级 会计职称 预习 班 找到
325,2018年初级会计职称考试有财经界的郭德刚王敏老师讲的课吗,2018 年 初级 会计职称 考试 财经界 郭德刚 王敏 老师 讲 课
326,购买货品包装物怎么做凭证,购买 货品 包装物 做 凭证
327,老师目前最新的固定资产认定标准是什么？,老师 最新 固定资产 认定 标准
328,企业接受来料加工制造的代制品和为外单位加工修理的代修品，制造和修理完成验收入库后，应视同企业的产成品”。2、为了加强对代修品等的管理，要求企业将此类商品视同自己的库存商品来管理和核算。视同企业库存商品在备查账合适吗？,企业 接受 来料加工 制造 代 制品 外 单位 加工 修理 代修品 制造 修理 验收 入库 应 视同 企业 产成品 对代 修品 管理 企业 此类 商品 视同 库存商品 管理 核算 视同 企业 库存商品 备查 账 合适
329,西里云海公司将旗下的云海大厦1-3层，整体出租给某超市使用，双方合同约定，租赁期限为2017年1月1号起到2026年12月31止，租赁期为10年，前五年租金为每年280万，后五年租赁为300万。租金在每年1月1号按年支付。自持物业环节账务处理增值税＝[收取的租金÷（111%）]×11%增值税销项税额：280÷（111%）]×11%=27.752017年1月1日收取租金账务处理如下：借：银行存款280万贷：预收账款252.25万元应交税费——应交增值税-销项税27.75万元这里的分录可以这样吗：借:银行存款贷:主营业务收入销项税额,西里 云海 公司 旗下 云海 大厦 层 整体 出租 超市 合同 约定 租赁 期限 2017 年 月 号 起到 2026 年 12 月 31 止 租赁期 10 年 前 五年 租金 280 万 五年 租赁 300 万 租金 月 号 年 支付 自持 物业 环节 账务 增值税 收取 租金 ÷ 111% 11% 增值税 销项税额 280 ÷ 111% 11% 27.752017 年 月 日 收取 租金 账务 银行存款 280 万贷 预收 账款 252.25 万元 应交 税费 应交 增值税 销项 税 27.75 万元 分录 银行存款 贷 主营业务 收入 销项税额
330,王敏老师讲中级的课不,王敏 老师 讲 中级 课
331,老师麻烦问一下独资企业和公司有什么区别，独资企业可以自己开发票吗，是不是和小规模一样要做账报税,老师 麻烦 问 独资企业 公司 区别 独资企业 开发票 小规模 做账 报税
332,我是SVIP包括哪些课程,SVIP 包括 课程
333,老师，现金科目不能出现负数吧,老师 现金 科目 负数
334,进销存账已经有明细，月末按商品销售总计做一笔总收入分录，结转总成本，这样一笔分录做到记账模块，可以吗？,进销存 账 明细 月末 商品销售 总计 做 一笔 总收入 分录 结转 总成本 一笔 分录 记账 模块
335,灯具行业小小零件很多，如何做进销存账呢？,灯具 行业 小小 零件 做 进销存 账
336,高速费可以抵扣，应该怎样做账，税率是多少，怎样做分录,高速 费 抵扣 做账 税率 做 分录
337,如何在这里学习初级职称课程呢？,学习 初级职称 课程
338,苹果笔记本看回放为啥不能加速？比如选择播放速度的1.2，1.5，1.8,苹果 笔记本 回放 为啥 加速 选择 播放 速度 1.2 1.5 1.8
339,直播回放怎么打不开，交易性金融资产,直播 回放 打不开 交易 性 金融资产
340,法人垫的工资，我要是做研发支出的话我贷方是其他应付款嘛？,法人 垫 工资 做 研发 支出 贷方 应付款
341,应付工资里含社保和个税，计提和支付工资怎么做呢,应付 工资 里 含 社保 税 计提 支付 工资 做
342,您好，麻烦想咨询一下总部财务中心和驻外企业的财务如何管理，如何进行财务管理，怎么进行财务核算？,您好 麻烦 想 咨询 总部 财务 中心 驻外 企业 财务 管理 财务管理 财务 核算
343,从公司内退是什么意思？是好是坏？,公司 内退 坏
344,老师，有笔货款3万，汇到了公户，对方又不要发票，我该怎么处理这个，不开票，还是,老师 笔 货款 万 汇到 公户 发票 我该 开票
345,填制报表时，为什么应收账款填制时要根据明细账来填制，根据总账为什么不可以,填制 报表 时 为什么 应收 账款 填制 时要 明细账 填制 总账 为什么
346,比如我有一家装饰公司，别人为了贷款，要跟我签订一个假的装饰合同，那对我来说走账怎么走？内账怎么走？外账怎么走呢？,一家 装饰 公司 贷款 签订 假 装饰 合同 走账 走 内账 走 外账 走
347,请问老师，连锁药店药店的收入是以药店销售出去多少为收入，那么总公司出库给合个门店怎么做分录呢？,请问 老师 连锁 药店 药店 收入 药店 销售 收入 总公司 出库 合个 门店 做 分录
348,年初预收60万货款，货也在年初发完，但是发票是陆续开的，还差20万左右开完，这样做是否有违规,年初 预收 60 万 货款 货 年初 发 完 发票 陆续 开 差 20 万左右 开 完 做 违规
349,老师，税负有什么联系吗？为什么是增值税负比销售收入而不是销售收入比增值税负呢？,老师 税负 为什么 增值税 负比 销售收入 销售收入 增值税 负
